Time,JointType,X,Y,Z
0,HipCenter,-0.08723406,0.1721389,3.065776
0,Spine,-0.09000172,0.2361615,3.138937
0,ShoulderCenter,-0.09581574,0.656587,3.191431
0,Head,-0.08253153,0.8672355,3.203945
0,ShoulderLeft,-0.2899239,0.514149,3.122927
0,ElbowLeft,-0.4281792,0.3556048,2.967805
0,WristLeft,-0.2344171,0.3254045,2.869716
0,HandLeft,-0.1373662,0.3359037,2.84884
0,ShoulderRight,0.08952604,0.4967493,3.12715
0,ElbowRight,0.2156638,0.3118362,3.004685
0,WristRight,0.04176384,0.3297871,2.867818
0,HandRight,0.009109762,0.2668339,2.847457
0,HipLeft,-0.1696758,0.08998863,3.038845
0,KneeLeft,-0.1996951,-0.3964396,2.970423
0,AnkleLeft,-0.177185,-0.7820191,2.985726
0,FootLeft,-0.2020469,-0.8695835,2.927229
0,HipRight,-0.002493995,0.089826,3.045577
0,KneeRight,0.02935284,-0.3947322,2.970543
0,AnkleRight,0.0366173,-0.7752941,2.967388
0,FootRight,0.06517404,-0.8649411,2.910464
340,HipCenter,-0.08726054,0.1722008,3.065924
340,Spine,-0.08996129,0.2362471,3.139191
340,ShoulderCenter,-0.09568676,0.656816,3.192012
340,Head,-0.08202782,0.8656713,3.203991
340,ShoulderLeft,-0.2894787,0.5156282,3.123735
340,ElbowLeft,-0.4287297,0.3563815,2.967795
340,WristLeft,-0.2348731,0.3299125,2.868653
340,HandLeft,-0.1398071,0.3457918,2.842664
340,ShoulderRight,0.08926084,0.4969122,3.12715
340,ElbowRight,0.2167146,0.3118106,3.005513
340,WristRight,0.02451398,0.344076,2.88796
340,HandRight,-0.008149059,0.2796974,2.872709
340,HipLeft,-0.1697714,0.09009961,3.038882
340,KneeLeft,-0.1998337,-0.3960205,2.970243
340,AnkleLeft,-0.1772928,-0.7821162,2.98561
340,FootLeft,-0.2023139,-0.8695852,2.927572
340,HipRight,-0.002413219,0.09010893,3.045936
340,KneeRight,0.02935178,-0.3951147,2.971008
340,AnkleRight,0.03653508,-0.774436,2.967687
340,FootRight,0.06326429,-0.8652031,2.912852
660,HipCenter,-0.08721311,0.1724601,3.066086
660,Spine,-0.08989422,0.2365465,3.139406
660,ShoulderCenter,-0.09551912,0.656988,3.192187
660,Head,-0.08120743,0.8656991,3.205207
660,ShoulderLeft,-0.2891815,0.5162295,3.1239
660,ElbowLeft,-0.4304126,0.3568752,2.968048
660,WristLeft,-0.236396,0.330743,2.869173
660,HandLeft,-0.1415481,0.3492312,2.84413
660,ShoulderRight,0.08926675,0.4968957,3.127172
660,ElbowRight,0.2192318,0.3110589,3.007936
660,WristRight,-0.04130273,0.3468108,2.875368
660,HandRight,-0.07396577,0.2824322,2.860117
660,HipLeft,-0.1698434,0.09050265,3.038999
660,KneeLeft,-0.1997048,-0.3957329,2.970047
660,AnkleLeft,-0.177316,-0.7819595,2.985659
660,FootLeft,-0.2022626,-0.8692943,2.927386
660,HipRight,-0.002238382,0.09041774,3.046117
660,KneeRight,0.02942451,-0.3945726,2.971146
660,AnkleRight,0.03650257,-0.7753778,2.96753
660,FootRight,0.06398098,-0.8655211,2.912512
970,HipCenter,-0.08720951,0.1724997,3.066094
970,Spine,-0.08989735,0.2365925,3.139447
970,ShoulderCenter,-0.09526797,0.6571689,3.192538
970,Head,-0.0805603,0.8661779,3.20623
970,ShoulderLeft,-0.2887455,0.5163656,3.123795
970,ElbowLeft,-0.4319,0.3560282,2.967129
970,WristLeft,-0.2366884,0.3314113,2.870624
970,HandLeft,-0.1408245,0.3468354,2.847443
970,ShoulderRight,0.08937291,0.496833,3.127165
970,ElbowRight,0.2182085,0.3092571,3.007282
970,WristRight,-0.04164937,0.3461567,2.87357
970,HandRight,-0.0743125,0.2817778,2.85832
970,HipLeft,-0.1699002,0.09066545,3.038944
970,KneeLeft,-0.1995859,-0.3956038,2.970178
970,AnkleLeft,-0.1771915,-0.7818086,2.985838
970,FootLeft,-0.2015039,-0.8688776,2.927446
970,HipRight,-0.002209753,0.09047368,3.046114
970,KneeRight,0.02925934,-0.3945004,2.971395
970,AnkleRight,0.03657325,-0.7749389,2.967556
970,FootRight,0.06368922,-0.865357,2.9121
1330,HipCenter,-0.08735674,0.1725416,3.066019
1330,Spine,-0.09001625,0.2365811,3.139427
1330,ShoulderCenter,-0.09530544,0.6570499,3.19279
1330,Head,-0.0798243,0.8644236,3.206783
1330,ShoulderLeft,-0.2885314,0.5164707,3.12383
1330,ElbowLeft,-0.4319855,0.356134,2.967782
1330,WristLeft,-0.2359889,0.3277022,2.871644
1330,HandLeft,-0.139859,0.3356733,2.845939
1330,ShoulderRight,0.08939775,0.4964888,3.127182
1330,ElbowRight,0.21772,0.3083453,3.007572
1330,WristRight,-0.04283708,0.3344307,2.872525
1330,HandRight,-0.07550037,0.2700515,2.857274
1330,HipLeft,-0.1701173,0.09083366,3.038651
1330,KneeLeft,-0.1995366,-0.3956643,2.970157
1330,AnkleLeft,-0.1772723,-0.7823815,2.98544
1330,FootLeft,-0.2010649,-0.8701814,2.925739
1330,HipRight,-0.00241477,0.09056953,3.046007
1330,KneeRight,0.02923537,-0.3944987,2.971337
1330,AnkleRight,0.03657392,-0.7748762,2.96732
1330,FootRight,0.0638585,-0.865328,2.911937
1651,HipCenter,-0.08718421,0.1726851,3.066003
1651,Spine,-0.09010801,0.2366337,3.139469
1651,ShoulderCenter,-0.09515026,0.65702,3.193451
1651,Head,-0.07979833,0.8641227,3.209871
1651,ShoulderLeft,-0.2880486,0.5137349,3.121986
1651,ElbowLeft,-0.4329523,0.3568468,2.969742
1651,WristLeft,-0.2320655,0.2994447,2.866913
1651,HandLeft,-0.1356152,0.3022626,2.841327
1651,ShoulderRight,0.08997621,0.4962873,3.127721
1651,ElbowRight,0.2169971,0.3085003,3.009757
1651,WristRight,-0.03894472,0.3131439,2.862581
1651,HandRight,-0.07160799,0.2487648,2.84733
1651,HipLeft,-0.1698268,0.09096397,3.03853
1651,KneeLeft,-0.1993881,-0.3955955,2.970044
1651,AnkleLeft,-0.1771414,-0.7823465,2.985535
1651,FootLeft,-0.200283,-0.8692405,2.927804
1651,HipRight,-0.002200859,0.09078295,3.045836
